Sample Number,Sample Date,Start Time,Region,General Habitat,Depth m,Tide,Sampling Gear,Waypoint,Latitude Start WGS 84,Longitude Start WGS 84,Wind speed,Wind direction,Sky,Precipitation,Temperature °C,Specific Conductance µS/cm,Salinity PSU,Turbidity FNU,Chlorophyll µg/L,DO concentration mg/L,DO saturation %,pH,fDOM QSU,Zooplankton Sample,Phytoplankton Sample,Larval Fish Sample,Comments
490,4/26/2018,11:01,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDs,,,5-10 -- small waves,Southwest,Clear,Dry,,,,,,,,,,0,1,0,
489,4/26/2018,10:41,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,,,5-10 -- small waves,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
488,4/26/2018,10:35,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,,,5-10 -- small waves,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
487,4/26/2018,10:29,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,,,5-10 -- small waves,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
484,4/26/2018,5:08,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDm,,,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,0,1,0,
483,4/26/2018,5:25,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,,,0-1 -- glassy,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
482,4/26/2018,5:19,Wildlands,Interior(LHTR/FLUX),,Flood,Plankton/LF net,WLDs,,,0-1 -- glassy,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
481,4/26/2018,5:13,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,,,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
478,4/25/2018,21:56,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDs,,,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,0,1,0,
477,4/25/2018,21:23,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,,,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
476,4/25/2018,21:15,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,,,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
475,4/25/2018,21:06,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,,,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
472,4/25/2018,15:52,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDm,,,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
471,4/25/2018,15:35,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,,,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
470,4/25/2018,15:26,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,,,"20+ -- large waves, heavy whitecaps, spray",Northwest,Clear,Dry,,,,,,,,,,1,1,0,
469,4/25/2018,15:22,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,,,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
468,4/20/2018,10:30,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDm,,,0-1 -- glassy,N/A,Clear,Dry,,,,,,,,,,1,1,0,
467,4/20/2018,10:23,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDm,,,0-1 -- glassy,N/A,Clear,Dry,,,,,,,,,,1,1,0,
466,4/20/2018,10:06,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,,,0-1 -- glassy,N/A,Clear,Dry,,,,,,,,,,1,1,0,
465,4/20/2018,9:50,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,,,0-1 -- glassy,N/A,Clear,Dry,,,,,,,,,,1,1,0,
464,4/20/2018,9:44,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,,,0-1 -- glassy,N/A,Clear,Dry,,,,,,,,,,1,1,0,
463,4/20/2018,9:36,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,,,0-1 -- glassy,N/A,Clear,Dry,,,,,,,,,,1,1,0,
462,4/20/2018,3:37,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,,,0-1 -- glassy,N/A,Clear,Dry,,,,,,,,,,1,1,0,
461,4/20/2018,3:28,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,,,0-1 -- glassy,N/A,Light fog,Dry,,,,,,,,,,1,1,0,
460,4/20/2018,3:21,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,,,0-1 -- glassy,N/A,Light fog,Dry,,,,,,,,,,1,1,0,
457,4/20/2018,4:23,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDs,,,0-1 -- glassy,N/A,Clear,Dry,,,,,,,,,,0,1,0,"No paper data sheet, had to enter data from phyto samples collected"
456,4/20/2018,0:28,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDm,,,1-5 -- light ripples,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
455,4/20/2018,0:20,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDm,,,1-5 -- light ripples,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
454,4/20/2018,0:06,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,,,1-5 -- light ripples,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
453,4/19/2018,23:06,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,,,1-5 -- light ripples,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
452,4/19/2018,22:59,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,,,1-5 -- light ripples,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
451,4/19/2018,22:50,Wildlands,Interior(LHTR/FLUX),,Ebb,Plankton/LF net,WLDs,,,1-5 -- light ripples,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
450,4/19/2018,16:51,Wildlands,Interior(LHTR/FLUX),,Flood,Plankton/LF net,WLDm,,,5-10 -- small waves,Northeast,Clear,Dry,,,,,,,,,,1,1,0,
449,4/19/2018,16:40,Wildlands,Interior(LHTR/FLUX),,Flood,Plankton/LF net,WLDm,,,5-10 -- small waves,Northeast,Clear,Dry,,,,,,,,,,1,1,0,
448,4/19/2018,16:30,Wildlands,Interior(LHTR/FLUX),,Flood,Plankton/LF net,WLDm,,,5-10 -- small waves,Northeast,Clear,Dry,,,,,,,,,,1,1,0,
445,4/19/2018,15:50,Wildlands,Interior(LHTR/FLUX),,Flood,Plankton/LF net,WLDs,,,5-10 -- small waves,Northeast,Clear,Dry,,,,,,,,,,0,1,0,NO TIDAL STAGED RECORDED
444,8/8/2017,21:02,Wildlands,Interior(LHTR/FLUX),1.68,Flood,Plankton/LF net,WLD07,38.32595,-121.6757,1-5 -- light ripples,Southwest,Clear,Dry,22.99,221.9,,20.48,2.82,6.6,77,7.07,32.98,1,1,0,"#NO SALINITY PROBE
#WLD 07
#BILL'S BOAT"
443,8/8/2017,20:57,Wildlands,Interior(LHTR/FLUX),0.84,Flood,Plankton/LF net,WLD06,38.32592,-121.6757,1-5 -- light ripples,Southwest,Clear,Dry,22.96,222.2,,20.65,2.74,6.62,77.2,7.07,33.05,1,1,0,"#NO SALINITY PROBE
#WLD 06
#BILL'S BOAT"
442,8/8/2017,20:48,Wildlands,Interior(LHTR/FLUX),1.179,Flood,Plankton/LF net,WLD05,38.3271,-121.6729,1-5 -- light ripples,Southwest,Clear,Dry,22.977,222.3,,21.43,3.14,6.6,77,7.07,32.77,1,1,0,"#NO SALINITY PROBE
#WLD 05
#BILL'S BOAT"
441,8/8/2017,20:41,Wildlands,Interior(LHTR/FLUX),1.05,Flood,Plankton/LF net,WLD04,38.32863,-121.6731,1-5 -- light ripples,Southwest,Clear,Dry,23.02,222,,21.52,2.9,6.58,76.7,7.06,33.06,1,1,0,"#NO SALINITY PROBE
#WLD 04
#BILL'S BOAT"
440,8/8/2017,20:31,Wildlands,Interior(LHTR/FLUX),0.7,Flood,Plankton/LF net,WLD03,38.33057,-121.6712,1-5 -- light ripples,Southwest,Clear,Dry,23.054,223.7,,20.12,2.87,6.61,77.1,7.06,33.82,1,1,0,"#NO SALINITY PROBE
#WLD 03
#BILL'S BOAT"
439,8/8/2017,20:21,Wildlands,Interior(LHTR/FLUX),1,Flood,Plankton/LF net,WLD02,38.33398,-121.6711,1-5 -- light ripples,Southwest,Clear,Dry,23.092,222.6,,20.71,2.94,6.6,77.2,7.06,33.59,1,1,0,"#NO SALINITY PROBE
#WLD 02
#BILL'S BOAT"
438,8/8/2017,14:37,Wildlands,Interior(LHTR/FLUX),0.63,Flood,Plankton/LF net,WLD06,38.32595,-121.6757,1-5 -- light ripples,Southwest,Clear,Dry,24.268,367.1,,52.24,3.26,5.72,68.4,6.68,52.26,1,1,0,"#NO SALINITY PROBE
#WLD 06
#BILL'S BOAT"
437,8/8/2017,14:26,Wildlands,Interior(LHTR/FLUX),0.65,Flood,Plankton/LF net,WLD05,38.32712,-121.6729,1-5 -- light ripples,Southwest,Clear,Dry,24.56,352.6,,57.68,6.48,7.54,90.8,6.81,34.73,1,1,0,
436,8/8/2017,14:16,Wildlands,Interior(LHTR/FLUX),0.31,Flood,Plankton/LF net,WLD04,38.32857,-121.6731,1-5 -- light ripples,Southwest,Clear,Dry,24.07,347.8,,18.39,2.2,6.79,81.1,6.74,50.69,1,1,0,"#NO SALINITY PROBE
#WLD 04
#BILL'S BOAT"
435,8/8/2017,14:03,Wildlands,Interior(LHTR/FLUX),0.34,Flood,Plankton/LF net,WLD03,38.3305,-121.6712,1-5 -- light ripples,Southwest,Clear,Dry,23.98,330.8,,19.25,1.97,6.66,79.1,6.84,46.84,1,1,0,
434,8/8/2017,13:52,Wildlands,Interior(LHTR/FLUX),0.41,Flood,Plankton/LF net,WLD02,38.3339,-121.6711,1-5 -- light ripples,Southwest,Clear,Dry,23.736,291.9,,25.16,2.55,10.54,77.6,6.98,40.07,1,1,0,"#NO SALINITY PROBE
"
433,8/8/2017,7:56,Wildlands,Interior(LHTR/FLUX),0.78,Ebb,Plankton/LF net,WLD07,38.32462,-121.6757,0-1 -- glassy,N/A,Clear,Dry,21.97,221.8,0.1,21.71,2.58,6.48,74,7.42,34.5,1,1,0,
432,8/8/2017,7:45,Wildlands,Interior(LHTR/FLUX),0.77,Ebb,Plankton/LF net,WLD06,38.32592,-121.6757,0-1 -- glassy,N/A,Clear,Dry,22.06,214.5,0.1,20.76,2.53,6.56,75.1,7.44,33.36,1,1,0,
431,8/8/2017,7:33,Wildlands,Interior(LHTR/FLUX),0.77,Ebb,Plankton/LF net,WLD05,38.32707,-121.6727,0-1 -- glassy,N/A,Clear,Dry,22.02,211.2,0.1,19.27,2.54,6.62,75.8,7.44,33.23,1,1,0,
430,8/8/2017,7:22,Wildlands,Interior(LHTR/FLUX),0.77,Ebb,Plankton/LF net,WLD04,38.32857,-121.6729,0-1 -- glassy,N/A,Clear,Dry,22.169,210.8,0.1,19.04,2.46,6.69,76.8,7.45,32.61,1,1,0,
429,8/8/2017,7:09,Wildlands,Interior(LHTR/FLUX),0.78,Ebb,Plankton/LF net,WLD03,38.33033,-121.6711,0-1 -- glassy,N/A,Clear,Dry,22.2,211,0.1,19.15,2.44,6.77,77.8,7.48,32.83,1,1,0,
428,8/8/2017,6:55,Wildlands,Interior(LHTR/FLUX),0.77,Ebb,Plankton/LF net,WLD02,38.33385,-121.6714,0-1 -- glassy,N/A,Clear,Dry,22.171,208.7,0.1,18.43,2.31,6.75,77.6,7.47,32.65,1,1,0,
427,8/8/2017,1:44,Wildlands,Interior(LHTR/FLUX),0.55,Flood,Plankton/LF net,WLD07,38.32462,-121.6757,1-5 -- light ripples,West,Clear,Dry,21.609,338,0.16,24.09,2.72,4.11,46.7,7.1,56.4,1,1,0,
426,8/8/2017,1:32,Wildlands,Interior(LHTR/FLUX),0.58,Flood,Plankton/LF net,WLD06,38.32585,-121.6757,1-5 -- light ripples,West,Clear,Dry,21.678,337.1,0.16,22.35,2.57,4.22,48.1,7.11,55.54,1,1,0,
425,8/8/2017,1:19,Wildlands,Interior(LHTR/FLUX),0.5,Flood,Plankton/LF net,WLD05,38.32705,-121.6727,5-10 -- small waves,West,Clear,Dry,21.862,319.5,0.15,22.96,2.68,4.77,54.5,7.14,50.2,1,1,0,
424,8/8/2017,1:06,Wildlands,Interior(LHTR/FLUX),0.84,Flood,Plankton/LF net,WLD04,38.3286,-121.6728,5-10 -- small waves,West,Clear,Dry,22.048,328.4,0.15,21.99,2.25,5.35,61.3,7.19,48.46,1,1,0,
423,8/8/2017,0:52,Wildlands,Interior(LHTR/FLUX),0.84,Flood,Plankton/LF net,WLD03,38.33035,-121.6711,5-10 -- small waves,West,Clear,Dry,22.52,283.4,0.13,25.91,2.72,6.32,73.1,7.31,40.78,1,1,0,
422,8/8/2017,0:36,Wildlands,Interior(LHTR/FLUX),0.88,Flood,Plankton/LF net,WLD02,38.33383,-121.6713,5-10 -- small waves,West,Clear,Dry,22.046,246.1,0.12,35.03,2.51,6.19,70.9,7.32,34.85,1,1,0,
421,8/1/2017,16:27,Wildlands,Interior(LHTR/FLUX),,Ebb,Plankton/LF net,WLD06,38.32593,-121.6757,1-5 -- light ripples,N/A,Clear,Dry,24.739,302.3,,16.91,3.57,6.46,77.3,7.04,43.85,1,0,0,"#NO SALINITY PROBE
#BILL'S BOAT"
420,8/1/2017,16:15,Wildlands,Interior(LHTR/FLUX),,Ebb,Plankton/LF net,WLD05,38.32705,-121.6728,1-5 -- light ripples,N/A,Clear,Dry,24.241,341.6,,17.81,3.68,6.68,80.4,5.4,44.02,1,0,0,#NO SALINITY PROBE
419,8/1/2017,15:58,Wildlands,Interior(LHTR/FLUX),,Ebb,Plankton/LF net,WLD04,38.32855,-121.673,1-5 -- light ripples,Southwest,Clear,Dry,25.701,288,,21.68,6.84,7.48,91.7,7.27,37.18,1,0,0,
418,8/1/2017,15:45,Wildlands,Interior(LHTR/FLUX),,Ebb,Plankton/LF net,WLD03,38.33048,-121.6712,1-5 -- light ripples,Southwest,Clear,Dry,26.3,256.6,,21.98,4.71,7.65,94.9,7.41,32.29,1,0,0,"#NO SALINITY PROBE
#BILL'S BOAT"
417,8/1/2017,15:28,Wildlands,Interior(LHTR/FLUX),,Ebb,Plankton/LF net,WLD02,38.33392,-121.671,1-5 -- light ripples,Southwest,Clear,Dry,25.59,242.4,,20.72,4.24,7.15,86.7,7.43,29.19,1,0,0,"#NO SALINITY PROBE
#BILL'S BOAT"
416,8/1/2017,10:14,Wildlands,Interior(LHTR/FLUX),,Ebb,Plankton/LF net,WLD06,38.32597,-121.6756,1-5 -- light ripples,Southwest,Clear,Dry,21.391,382.3,,23.95,3.42,4.61,52.2,7.07,56.47,1,0,0,"#NO SALINITY PROBE
#BILL'S BOAT"
415,8/1/2017,10:00,Wildlands,Interior(LHTR/FLUX),,Ebb,Plankton/LF net,WLD05,38.3271,-121.6728,1-5 -- light ripples,Southwest,Clear,Dry,21.654,369.8,,34.8,4.4,5.43,61.7,7.12,37.09,1,0,0,
414,8/1/2017,9:40,Wildlands,Interior(LHTR/FLUX),,Ebb,Plankton/LF net,WLD04,38.32853,-121.673,1-5 -- light ripples,Southwest,Clear,Dry,21.558,352.9,,22.7,3.04,5.19,59.6,7.11,50.52,1,0,0,"#NO SALINITY PROBE
#BILL'S BOAT"
413,8/1/2017,9:29,Wildlands,Interior(LHTR/FLUX),,Ebb,Plankton/LF net,WLD03,38.33052,-121.6712,1-5 -- light ripples,Southwest,Clear,Dry,21.915,332.2,,20.83,4.83,5.5,62.8,7.22,46.54,1,0,0,"#NO SALINITY PROBE
#BILL'S BOAT"
412,8/1/2017,9:10,Wildlands,Interior(LHTR/FLUX),,Ebb,Plankton/LF net,WLD02,38.3339,-121.67112,1-5 -- light ripples,Southwest,Clear,Dry,22.045,292.2,,34.69,4.51,5.72,65.4,7.25,27.89,1,0,0,"#NO SALINITY PROBE
#BILL'S BOAT"
411,8/1/2017,3:15,Wildlands,Interior(LHTR/FLUX),1.11,Ebb,Plankton/LF net,WLD07,38.3246,-121.6757,0-1 -- glassy,N/A,Clear,Dry,23.678,252.5,,24.68,3.52,6.5,76.8,7.43,35.31,1,0,0,
410,8/1/2017,3:02,Wildlands,Interior(LHTR/FLUX),1.14,Ebb,Plankton/LF net,WLD06,38.32592,-121.6757,0-1 -- glassy,N/A,Clear,Dry,23.717,253.2,,19.2,3.57,6.56,77.5,7.42,36.68,1,0,0,
409,8/1/2017,2:49,Wildlands,Interior(LHTR/FLUX),1.14,Ebb,Plankton/LF net,WLD05,38.32705,-121.6728,0-1 -- glassy,N/A,Clear,Dry,23.761,244.4,,20.68,4.28,6.73,79.7,7.46,35.31,1,0,0,
408,8/1/2017,2:37,Wildlands,Interior(LHTR/FLUX),1.14,Ebb,Plankton/LF net,WLD04,38.32858,-121.6728,0-1 -- glassy,N/A,Clear,Dry,24.004,241.4,,18.51,3.85,6.85,81.6,7.49,34.83,1,0,0,
407,8/1/2017,2:23,Wildlands,Interior(LHTR/FLUX),1.14,High slack,Plankton/LF net,WLD03,38.33028,-121.671,0-1 -- glassy,N/A,Clear,Dry,24.087,242.2,,21.45,4.11,6.97,82.9,7.52,34.2,1,0,0,
406,8/1/2017,2:06,Wildlands,Interior(LHTR/FLUX),1.24,High slack,Plankton/LF net,WLD02,38.33388,-121.6713,0-1 -- glassy,N/A,Clear,Dry,24.29,232.9,,18,3.78,7.24,86.4,7.55,32.29,1,0,0,
405,7/31/2017,23:47,Wildlands,Interior(LHTR/FLUX),1.13,Flood,Plankton/LF net,WLD07,38.32455,-121.6757,0-1 -- glassy,N/A,Clear,Dry,24.346,260.2,,30.78,3.9,7.34,87.8,7.45,33.17,1,0,0,
404,7/31/2017,18:50,Wildlands,Interior(LHTR/FLUX),0.96,Low slack,Plankton/LF net,WLD06,38.32588,-121.6757,0-1 -- glassy,N/A,Clear,Dry,25.12,384.9,,18.12,3.1,5.02,60.9,7.08,54.97,1,0,0,
403,7/31/2017,18:35,Wildlands,Interior(LHTR/FLUX),0.81,Low slack,Plankton/LF net,WLD05,38.32705,-121.6727,0-1 -- glassy,N/A,Clear,Dry,25.19,430.1,,17.14,3.25,7.37,89.5,6.97,52.19,1,0,0,
402,7/31/2017,18:25,Wildlands,Interior(LHTR/FLUX),0.95,Low slack,Plankton/LF net,WLD04,38.32857,-121.6729,0-1 -- glassy,N/A,Clear,Dry,25.62,413.5,,14.62,4.49,7.73,94.8,7.07,51.06,1,0,0,
401,7/31/2017,18:12,Wildlands,Interior(LHTR/FLUX),0.92,Low slack,Plankton/LF net,WLD03,38.33018,-121.671,0-1 -- glassy,N/A,Clear,Dry,25.23,319.1,,22.57,6.68,7.8,94.4,7.3,38.17,1,0,0,
400,7/31/2017,17:54,Wildlands,Interior(LHTR/FLUX),0.87,Ebb,Plankton/LF net,WLD02,38.33375,-121.6714,0-1 -- glassy,N/A,Clear,Dry,24.37,289.8,,26.02,4.28,6.82,80.5,7.25,35.15,1,0,0,
366,4/26/2018,11:12,Little Holland Tract,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,LHTinterior,,,5-10 -- small waves,Southwest,Clear,Dry,17.36,433.3,0.21,21.15,0.65,9.8,102.3,8.53,15.53,1,1,0,
365,4/26/2018,11:04,Little Holland Tract,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,LHTinterior,,,5-10 -- small waves,Southwest,Clear,Dry,17.36,433.3,0.21,21.15,0.65,9.8,102.3,8.53,15.53,1,1,0,
364,4/26/2018,10:55,Little Holland Tract,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,LHTinterior,38.29563,-121.66256,5-10 -- small waves,Southwest,Clear,Dry,17.36,433.3,0.21,21.15,0.65,9.8,102.3,8.53,15.53,1,1,0,
363,4/26/2018,10:45,Little Holland Tract,Breach(LHTR/FLUX),,Low slack,Plankton/LF net,LHTsouth,,,5-10 -- small waves,West,Clear,Dry,17.2,428,0.21,35.12,0.66,9.12,94.8,8.43,14.66,1,1,0,
362,4/26/2018,10:40,Little Holland Tract,Breach(LHTR/FLUX),,Low slack,Plankton/LF net,LHTsouth,,,5-10 -- small waves,West,Clear,Dry,17.2,428,0.21,35.12,0.66,9.12,94.8,8.43,14.66,1,1,0,
361,4/26/2018,10:32,Little Holland Tract,Breach(LHTR/FLUX),,Low slack,Plankton/LF net,LHTsouth,,,5-10 -- small waves,West,Clear,Dry,17.2,428,0.21,35.12,0.66,9.12,94.8,8.43,14.66,1,1,0,
360,4/26/2018,5:02,Little Holland Tract,Interior(LHTR/FLUX),,Ebb,Plankton/LF net,LHTinterior,,,5-10 -- small waves,West,Clear,Dry,,,,,,,,,,1,1,0,
359,4/26/2018,4:56,Little Holland Tract,Interior(LHTR/FLUX),,Ebb,Plankton/LF net,LHTinterior,,,5-10 -- small waves,West,Clear,Dry,,,,,,,,,,1,1,0,
358,4/26/2018,4:50,Little Holland Tract,Interior(LHTR/FLUX),,Ebb,Plankton/LF net,LHTinterior,,,5-10 -- small waves,West,Clear,Dry,18.32,361,0.17,18.56,0.43,9.2,98,8.55,39.48,1,1,0,
357,4/26/2018,4:33,Little Holland Tract,Breach(LHTR/FLUX),,High slack,Plankton/LF net,LHTsouth,,,5-10 -- small waves,West,Clear,Dry,,,,,,,,,,1,1,0,
356,4/26/2018,4:27,Little Holland Tract,Breach(LHTR/FLUX),,High slack,Plankton/LF net,LHTsouth,,,5-10 -- small waves,West,Clear,Dry,,,,,,,,,,1,1,0,
355,4/26/2018,4:16,Little Holland Tract,Breach(LHTR/FLUX),,High slack,Plankton/LF net,LHTsouth,,,5-10 -- small waves,West,Clear,Dry,18.27,284.9,0.14,19.24,0.55,9.4,99.9,8.6,30.37,1,1,0,
354,4/25/2018,22:44,Little Holland Tract,Interior(LHTR/FLUX),,Flood,Plankton/LF net,LHTinterior,,,5-10 -- small waves,West,Clear,Dry,,,,,,,,,,1,1,0,
353,4/25/2018,22:37,Little Holland Tract,Interior(LHTR/FLUX),,Flood,Plankton/LF net,LHTinterior,,,5-10 -- small waves,West,Clear,Dry,,,,,,,,,,1,1,0,
352,4/25/2018,22:29,Little Holland Tract,Interior(LHTR/FLUX),,Flood,Plankton/LF net,LHTinterior,,,5-10 -- small waves,West,Clear,Dry,18.59,453,0.22,58.94,1.18,10.19,109.5,9.25,38.18,1,1,0,
351,4/25/2018,22:17,Little Holland Tract,Breach(LHTR/FLUX),,Flood,Plankton/LF net,LHTsouth,,,5-10 -- small waves,West,Clear,Dry,,,,,,,,,,1,1,0,
350,4/25/2018,22:10,Little Holland Tract,Breach(LHTR/FLUX),,Flood,Plankton/LF net,LHTsouth,,,5-10 -- small waves,West,Clear,Dry,,,,,,,,,,1,1,0,
349,4/25/2018,22:01,Little Holland Tract,Breach(LHTR/FLUX),,Flood,Plankton/LF net,LHTsouth,,,5-10 -- small waves,West,Clear,Dry,20.15,512.6,0.22,32.58,1.43,9.48,103.6,8.54,50.73,1,1,0,
348,4/25/2018,15:53,Little Holland Tract,Interior(LHTR/FLUX),,Ebb,Plankton/LF net,LHTinterior,,,1-5 -- light ripples,Southeast,Clear,Dry,21.44,418,0.2,7.82,0.35,12.91,145.6,8.89,16.42,1,1,0,
